Fecha,Ferrol.domicilio,Ferrol.hospitalizados,Ferrol.uci,Ferrol.PCR.acum,Ferrol.serologicas.acum
2020-03-11,,,,,
2020-03-12,,,,,
2020-03-13,,,,,
2020-03-14,,,,,
2020-03-15,,,,,
2020-03-16,,,,,
2020-03-17,,,,,
2020-03-18,,,,,
2020-03-19,,,,,
2020-03-20,,,,,
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,,,,,
2020-03-24,,,,,
2020-03-25,,,,,
2020-03-26,,,,,
2020-03-27,,,,,
2020-03-28,,,,,
2020-03-29,,,,,
2020-03-30,,,,,
2020-03-31,,,,,
2020-04-01,,,,,
2020-04-02,,,,,
2020-04-03,,,,,
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,,,,,
2020-04-07,,,,,
2020-04-08,,,,,
2020-04-09,,,,,
2020-04-10,,,,,
2020-04-11,,,,,
2020-04-12,,,,,
2020-04-13,,,,,
2020-04-14,,,,,
2020-04-15,,,,,
2020-04-16,,,,,
2020-04-17,,,,,
2020-04-18,,,,,
2020-04-19,,,,,
2020-04-20,,,,,
2020-04-21,,,,,
2020-04-22,,,,,
2020-04-23,,,,,
2020-04-24,,,,,
2020-04-25,,,,,
2020-04-26,,,,,
2020-04-27,,,,,
2020-04-28,,,,,
2020-04-29,,,,,
2020-04-30,,,,,
2020-05-01,,,,,
2020-05-02,,,,,
2020-05-03,,,,,
2020-05-04,,,,,
2020-05-05,,,,,
2020-05-06,,,,,
2020-05-07,,,,,
2020-05-08,,,,,
2020-05-09,,,,,
2020-05-10,,,,,
2020-05-11,,,,,
2020-05-12,,,,,
2020-05-13,,,,,
2020-05-14,,,,,
2020-05-15,,,,,
2020-05-16,,,,,
2020-05-17,,,,,
2020-05-18,,,,,
2020-05-19,,,,,
2020-05-20,,,,,
2020-05-21,,,,,
2020-05-22,,,,,
2020-05-23,,,,,
2020-05-24,,,,,
2020-05-25,,,,,
2020-05-26,,,,,
2020-05-27,,,,,
2020-05-28,,,,,
2020-05-29,,,,,
2020-05-30,,,,,
2020-05-31,,,,,
2020-06-01,,,,,
2020-06-02,,,,,
2020-06-03,,,,,
2020-06-04,18,2,0,,
2020-06-05,17,1,0,11964,
2020-06-06,12,2,0,12049,
2020-06-07,13,1,0,12139,
2020-06-08,12,1,0,12202,
2020-06-09,13,0,0,12274,
2020-06-10,13,0,0,12412,
2020-06-11,13,0,0,12549,
2020-06-12,12,0,0,12619,
2020-06-13,12,0,0,12695,
2020-06-14,12,0,0,12809,
2020-06-15,12,0,0,12847,
2020-06-16,12,0,0,12894,
2020-06-17,12,0,0,13001,
2020-06-18,12,0,0,13125,
2020-06-19,12,0,0,13261,
2020-06-20,12,0,0,13451,
2020-06-21,12,0,0,13551,
2020-06-22,12,0,0,13589,
2020-06-23,12,0,0,13705,
2020-06-24,11,0,0,13804,
2020-06-25,11,0,0,13887,
2020-06-26,11,0,0,13971,
2020-06-27,11,0,0,14040,
2020-06-28,11,0,0,14135,
2020-06-29,11,0,0,14189,
2020-06-30,11,0,0,14322,
2020-07-01,10,0,0,14452,
2020-07-02,10,0,0,14577,
2020-07-03,10,0,0,14933,
2020-07-04,7,0,0,15267,
2020-07-05,2,0,0,15380,
2020-07-06,2,0,0,15692,
2020-07-07,2,0,0,16003,
2020-07-08,2,0,0,16336,
2020-07-09,2,0,0,16750,
2020-07-10,2,0,0,17076,
2020-07-11,1,0,0,17351,
2020-07-12,1,0,0,17644,
2020-07-13,1,0,0,17718,
2020-07-14,1,0,0,17938,
2020-07-15,1,0,0,18194,
2020-07-16,1,0,0,18421,
2020-07-17,1,0,0,18523,
2020-07-18,1,0,0,18604,
2020-07-19,0,0,0,18690,
2020-07-20,0,0,0,18731,
2020-07-21,0,0,0,18812,
2020-07-22,0,0,0,18937,
2020-07-23,0,0,0,19039,
2020-07-24,0,0,0,19184,
2020-07-25,0,0,0,19286,
2020-07-26,0,0,0,19359,
2020-07-27,0,0,0,19418,
2020-07-28,0,0,0,19510,
2020-07-29,1,0,0,19607,
2020-07-30,2,0,0,19756,
2020-07-31,2,0,0,19871,
2020-08-01,2,0,0,19972,
2020-08-02,2,0,0,20090,
2020-08-03,3,0,0,20155,
2020-08-04,4,0,0,20236,
2020-08-05,5,0,0,20433,
2020-08-06,5,0,0,20603,
2020-08-07,5,0,0,20724,
2020-08-08,6,0,0,20856,
2020-08-09,7,0,0,20939,
2020-08-10,9,0,0,21024,
2020-08-11,11,0,0,21128,
2020-08-12,20,0,0,21321,
2020-08-13,29,0,0,21511,
2020-08-14,35,0,0,21755,
2020-08-15,42,0,0,21978,
2020-08-16,51,0,0,22213,
2020-08-17,52,1,0,22324,
2020-08-18,59,0,0,22459,
2020-08-19,69,0,0,22705,
2020-08-20,77,0,0,22994,
2020-08-21,89,0,0,23263,
2020-08-22,97,0,0,23501,
2020-08-23,106,0,0,23798,
2020-08-24,113,0,0,24042,
2020-08-25,117,1,0,24220,
2020-08-26,115,0,0,24490,
2020-08-27,119,0,0,24736,
2020-08-28,123,0,0,25039,
2020-08-29,125,2,0,25266,
2020-08-30,128,3,0,25485,
2020-08-31,130,3,0,25680,
2020-09-01,140,4,0,26056,
2020-09-02,144,5,0,26496,
2020-09-03,144,6,0,26746,
2020-09-04,144,6,0,27016,
2020-09-05,142,6,0,27289,
2020-09-06,149,8,0,27563,
2020-09-07,151,8,0,27755,
2020-09-08,162,8,0,27913,
2020-09-09,169,7,0,28192,
2020-09-10,170,6,0,28488,
2020-09-11,169,5,0,28776,
2020-09-12,174,6,0,29070,
2020-09-13,179,5,0,29343,
2020-09-14,181,5,0,29517,
2020-09-15,175,7,1,29733,
2020-09-16,176,5,1,30050,
2020-09-17,177,5,1,30320,
2020-09-18,168,8,2,30805,
2020-09-19,173,8,1,31090,
2020-09-20,177,7,2,31309,
2020-09-21,170,7,2,31512,
2020-09-22,173,7,2,31758,
2020-09-23,180,9,2,32032,
2020-09-24,171,8,2,32330,
2020-09-25,164,8,2,32595,
2020-09-26,156,8,1,32885,
2020-09-27,147,7,0,33149,
2020-09-28,146,7,0,33373,
2020-09-29,144,6,1,33618,
2020-09-30,143,5,1,33868,
2020-10-01,124,5,1,34245,
2020-10-02,121,7,1,34492,
2020-10-03,114,7,1,34805,
2020-10-04,111,6,1,35028,
2020-10-05,111,6,1,35315,
2020-10-06,115,3,0,35570,
2020-10-07,106,2,0,35831,
2020-10-08,99,3,0,36466,24315
2020-10-09,100,4,0,36722,24527
2020-10-10,110,4,0,37097,24742
2020-10-11,119,3,0,37646,24786
2020-10-12,134,3,0,37850,24786
2020-10-13,131,5,0,38048,24786
2020-10-14,142,5,0,38228,24937
2020-10-15,144,4,0,38679,25147
2020-10-16,164,3,0,38976,25353
2020-10-17,164,5,0,39553,25589
2020-10-18,177,5,0,39875,25639
2020-10-19,213,9,1,40271,25661
2020-10-20,225,13,2,40646,25833
2020-10-21,234,17,1,41082,26013
2020-10-22,264,19,2,41459,26129
2020-10-23,310,19,3,42025,26191
2020-10-24,384,28,3,42575,26206
2020-10-25,412,33,4,42970,26222
2020-10-26,451,37,4,43297,26238
2020-10-27,507,39,5,43768,26271
2020-10-28,581,39,6,44281,26305
2020-10-29,633,37,5,45058,26330
2020-10-30,727,30,6,45716,26358
2020-10-31,770,37,7,46443,26369
2020-11-01,893,37,8,47114,26384
2020-11-02,911,43,7,47722,26394
2020-11-03,938,44,7,48449,26441
2020-11-04,984,45,7,49040,26543
2020-11-05,1045,49,8,49666,26565
2020-11-06,1065,53,9,50248,26603
2020-11-07,1034,55,9,50861,26628
2020-11-08,1021,50,9,51420,26646
2020-11-09,990,55,9,51918,26654
2020-11-10,959,54,9,52279,26684
2020-11-11,920,58,8,52823,26836
2020-11-12,875,56,8,53340,26857
2020-11-13,855,60,8,53898,26979
2020-11-14,809,63,10,54511,27100
2020-11-15,783,58,11,55011,27255
2020-11-16,725,61,11,55441,27295
2020-11-17,719,58,12,55787,27329
2020-11-18,697,52,12,56191,27371
2020-11-19,674,50,11,56687,27424
2020-11-20,636,44,11,57179,27439
