Fecha,Vigo.domicilio,Vigo.hospitalizados,Vigo.uci,Vigo.PCR.acum
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,10,2,
2020-03-17,,12,3,
2020-03-18,,14,3,
2020-03-19,,22,3,
2020-03-20,,27,4,
2020-03-21,,35,4,
2020-03-22,,52,4,
2020-03-23,,61,7,
2020-03-24,,67,10,
2020-03-25,,87,13,
2020-03-26,,113,14,
2020-03-27,,114,17,
2020-03-28,,167,22,
2020-03-29,,187,25,
2020-03-30,,196,26,
2020-03-31,,205,28,
2020-04-01,,189,29,
2020-04-02,,206,32,
2020-04-03,,195,36,
2020-04-04,,200,36,
2020-04-05,,201,34,
2020-04-06,,197,37,
2020-04-07,,186,34,
2020-04-08,,168,35,
2020-04-09,,150,34,
2020-04-10,,150,31,
2020-04-11,,131,26,
2020-04-12,,141,26,
2020-04-13,,134,24,
2020-04-14,,126,25,
2020-04-15,,130,27,
2020-04-16,,117,26,
2020-04-17,,111,26,
2020-04-18,,98,25,
2020-04-19,,96,24,
2020-04-20,,91,23,
2020-04-21,,96,23,
2020-04-22,,78,21,
2020-04-23,,77,19,
2020-04-24,,69,17,
2020-04-25,,72,19,
2020-04-26,,68,18,
2020-04-27,,74,15,
2020-04-28,,71,12,
2020-04-29,,66,12,
2020-04-30,,54,11,
2020-05-01,,45,11,
2020-05-02,,37,9,
2020-05-03,,39,9,
2020-05-04,,42,9,
2020-05-05,,35,10,
2020-05-06,,31,7,
2020-05-07,,29,8,
2020-05-08,,32,7,
2020-05-09,,32,7,
2020-05-10,,33,7,
2020-05-11,,37,8,
2020-05-12,,38,8,
2020-05-13,,27,8,
2020-05-14,,20,7,
2020-05-15,,20,7,
2020-05-16,,18,5,
2020-05-17,,15,4,
2020-05-18,,16,4,
2020-05-19,,19,4,
2020-05-20,,12,4,
2020-05-21,,10,3,
2020-05-22,,12,3,
2020-05-23,,10,3,
2020-05-24,,9,3,
2020-05-25,,11,3,
2020-05-26,,7,2,
2020-05-27,,7,1,
2020-05-28,,7,1,
2020-05-29,,9,2,
2020-05-30,,8,1,
2020-05-31,,8,2,
2020-06-01,,4,0,
2020-06-02,,7,1,
2020-06-03,,10,0,
2020-06-04,188,5,0,
2020-06-05,188,7,0,31048
2020-06-06,189,7,0,31287
2020-06-07,186,8,0,31635
2020-06-08,188,5,0,31758
2020-06-09,187,5,0,31944
2020-06-10,185,4,0,32230
2020-06-11,179,5,0,32563
2020-06-12,145,3,0,32740
2020-06-13,144,3,0,32977
2020-06-14,138,2,0,33219
2020-06-15,138,2,0,33329
2020-06-16,139,3,0,33495
2020-06-17,139,2,0,33773
2020-06-18,139,2,0,34051
2020-06-19,139,2,0,34293
2020-06-20,139,2,0,34461
2020-06-21,139,1,0,34722
2020-06-22,137,1,0,34858
2020-06-23,137,1,0,34930
2020-06-24,134,1,0,35181
2020-06-25,134,1,0,35479
2020-06-26,132,1,0,35554
2020-06-27,130,1,0,36086
2020-06-28,131,1,0,36464
2020-06-29,130,1,0,37015
2020-06-30,128,1,0,37385
2020-07-01,128,0,0,37891
2020-07-02,122,0,0,38298
2020-07-03,122,0,0,38747
2020-07-04,101,0,0,39381
2020-07-05,61,0,0,39911
2020-07-06,61,0,0,40303
2020-07-07,60,0,0,40654
2020-07-08,34,0,0,41355
2020-07-09,24,0,0,42028
2020-07-10,15,1,1,42756
2020-07-11,9,1,1,43384
2020-07-12,9,2,1,44058
2020-07-13,9,2,1,44563
2020-07-14,10,2,1,45026
2020-07-15,12,2,1,45465
2020-07-16,15,1,1,45794
2020-07-17,16,1,1,46308
2020-07-18,16,1,1,46727
2020-07-19,16,1,0,46994
2020-07-20,16,1,0,47179
2020-07-21,17,1,0,47339
2020-07-22,18,2,0,47636
2020-07-23,24,3,0,47988
2020-07-24,29,2,0,48428
2020-07-25,30,2,1,48839
2020-07-26,33,2,1,49211
2020-07-27,42,2,1,49382
2020-07-28,45,2,1,49596
2020-07-29,48,2,1,50177
2020-07-30,48,1,1,50543
2020-07-31,47,1,1,50854
2020-08-01,55,1,1,51204
2020-08-02,62,1,1,51435
2020-08-03,63,1,1,51585
2020-08-04,66,1,1,51760
2020-08-05,71,3,1,52268
2020-08-06,72,3,1,52622
2020-08-07,74,4,1,53050
2020-08-08,74,7,2,53388
2020-08-09,79,4,1,53699
2020-08-10,81,4,1,53931
2020-08-11,104,4,1,54267
2020-08-12,112,4,1,54902
2020-08-13,114,4,1,55483
2020-08-14,132,2,0,56028
2020-08-15,127,2,0,56595
2020-08-16,132,2,0,57087
2020-08-17,137,2,0,57339
2020-08-18,137,2,0,57651
2020-08-19,137,1,0,58343
2020-08-20,139,2,0,58913
2020-08-21,141,3,0,59515
2020-08-22,140,3,0,60122
2020-08-23,150,4,0,60636
2020-08-24,151,4,0,60859
2020-08-25,166,4,0,61377
2020-08-26,173,4,0,62158
2020-08-27,181,4,0,62764
2020-08-28,185,4,0,63700
2020-08-29,203,6,1,64457
2020-08-30,205,9,1,64975
2020-08-31,228,9,1,65476
2020-09-01,244,9,1,65963
2020-09-02,260,9,1,66746
2020-09-03,291,11,1,67895
2020-09-04,315,12,1,68894
2020-09-05,324,13,1,69872
2020-09-06,331,13,1,70912
2020-09-07,329,15,3,71286
2020-09-08,331,15,3,71767
2020-09-09,331,13,4,72915
2020-09-10,333,16,4,74050
2020-09-11,346,18,4,74954
2020-09-12,344,20,6,76058
2020-09-13,344,22,6,76868
2020-09-14,341,20,6,77329
2020-09-15,352,21,7,78008
2020-09-16,364,23,7,79115
2020-09-17,377,18,7,80033
2020-09-18,389,17,7,81477
2020-09-19,414,17,6,82886
